tipo_combo,internet,precio_lista_internet,precio_combo_internet,telefonia,precio_lista_telefonia,precio_combo_telefonia,flow,precio_lista_flow,precio_combo_flow,total_precio_lista,total_precio_combo,masiva,portin,zona_claro
Combo Telefonia,50,130000,110500,2,95000,80750,false,0,0,225000,191250,true,false,false
Combo Telefonia,50,130000,110500,3,120000,102000,false,0,0,250000,212500,true,false,false
Combo Telefonia,50,130000,110500,5,150000,127500,false,0,0,280000,238000,true,false,false
Combo Telefonia,50,130000,110500,7,185000,157250,false,0,0,315000,267750,true,false,false
Combo Telefonia,50,130000,110500,10,255000,216750,false,0,0,385000,327250,true,false,false
Combo Telefonia,50,130000,110500,15,350000,297500,false,0,0,480000,408000,true,false,false
Combo Telefonia,50,130000,110500,17,450000,382500,false,0,0,580000,493000,true,false,false
Combo Telefonia,50,130000,110500,20,550000,467500,false,0,0,680000,578000,true,false,false
Combo Telefonia,100,199000,169150,2,95000,80750,false,0,0,294000,249900,true,false,false
Combo Telefonia,100,199000,169150,3,120000,102000,false,0,0,319000,271150,true,false,false
Combo Telefonia,100,199000,169150,5,150000,127500,false,0,0,349000,296650,true,false,false
Combo Telefonia,100,199000,169150,7,185000,157250,false,0,0,384000,326400,true,false,false
Combo Telefonia,100,199000,169150,10,255000,216750,false,0,0,454000,385900,true,false,false
Combo Telefonia,100,199000,169150,15,350000,297500,false,0,0,549000,466650,true,false,false
Combo Telefonia,100,199000,169150,17,450000,382500,false,0,0,649000,551650,true,false,false
Combo Telefonia,100,199000,169150,20,550000,467500,false,0,0,749000,636650,true,false,false
Combo Telefonia,150,249000,211650,2,95000,80750,false,0,0,344000,292400,true,false,false
Combo Telefonia,150,249000,211650,3,120000,102000,false,0,0,369000,313650,true,false,false
Combo Telefonia,150,249000,211650,5,150000,127500,false,0,0,399000,339150,true,false,false
Combo Telefonia,150,249000,211650,7,185000,157250,false,0,0,434000,368900,true,false,false
Combo Telefonia,150,249000,211650,10,255000,216750,false,0,0,504000,428400,true,false,false
